Cluster,state,state_count,state_share
1,A,211,0.071622539035981
1,CM,617,0.20943652410047522
1,E,252,0.0855397148676171
1,F,80,0.027155465037338764
1,IM,98,0.03326544467073999
1,R,1688,0.572980312287848
2,A,1039,0.04108993118721822
2,CM,7496,0.29644862769912206
2,E,1726,0.0682591157162066
2,F,640,0.02531044846950882
2,IM,1358,0.053705607846239026
2,R,13027,0.5151862690817053
3,A,97,0.06077694235588972
3,CM,264,0.16541353383458646
3,E,171,0.10714285714285714
3,F,215,0.13471177944862156
3,IM,124,0.07769423558897243
3,R,725,0.4542606516290727
4,A,79,0.04384017758046615
4,CM,437,0.24250832408435072
4,E,90,0.049944506104328525
4,F,361,0.20033296337402887
4,IM,183,0.10155382907880134
4,R,652,0.36182019977802443
