Cluster,state,next_state,count,outgoing_total,probability
1,A,R,211,211,1.0
1,CM,A,3,615,0.004878048780487805
1,CM,CM,266,615,0.432520325203252
1,CM,E,15,615,0.024390243902439025
1,CM,F,8,615,0.013008130081300813
1,CM,IM,25,615,0.04065040650406504
1,CM,R,298,615,0.4845528455284553
1,E,A,6,242,0.024793388429752067
1,E,CM,17,242,0.07024793388429752
1,E,E,97,242,0.40082644628099173
1,E,F,8,242,0.03305785123966942
1,E,IM,30,242,0.12396694214876033
1,E,R,84,242,0.34710743801652894
1,F,A,25,78,0.32051282051282054
1,F,CM,3,78,0.038461538461538464
1,F,E,13,78,0.16666666666666666
1,F,F,22,78,0.28205128205128205
1,F,R,15,78,0.19230769230769232
1,IM,A,3,98,0.030612244897959183
1,IM,CM,45,98,0.45918367346938777
1,IM,E,7,98,0.07142857142857142
1,IM,F,9,98,0.09183673469387756
1,IM,IM,30,98,0.30612244897959184
1,IM,R,4,98,0.04081632653061224
1,R,A,174,1681,0.10350981558596074
1,R,CM,286,1681,0.1701368233194527
1,R,E,99,1681,0.05889351576442594
1,R,F,33,1681,0.019631171921475312
1,R,IM,13,1681,0.007733491969066032
1,R,R,1076,1681,0.6400951814396193
2,A,A,172,1039,0.16554379210779596
2,A,F,3,1039,0.0028873917228103944
2,A,R,864,1039,0.8315688161693936
2,CM,A,30,7495,0.004002668445630421
2,CM,CM,3821,7495,0.5098065376917945
2,CM,E,182,7495,0.02428285523682455
2,CM,F,86,7495,0.011474316210807205
2,CM,IM,273,7495,0.03642428285523682
2,CM,R,3103,7495,0.4140093395597065
2,E,A,19,1705,0.011143695014662757
2,E,CM,102,1705,0.05982404692082111
2,E,E,732,1705,0.42932551319648093
2,E,F,26,1705,0.015249266862170088
2,E,IM,402,1705,0.23577712609970675
2,E,R,424,1705,0.24868035190615836
2,F,A,86,630,0.1365079365079365
2,F,CM,49,630,0.07777777777777778
2,F,E,85,630,0.1349206349206349
2,F,F,175,630,0.2777777777777778
2,F,IM,41,630,0.06507936507936508
2,F,R,194,630,0.30793650793650795
2,IM,A,92,1354,0.06794682422451995
2,IM,CM,624,1354,0.4608567208271787
2,IM,E,99,1354,0.07311669128508123
2,IM,F,92,1354,0.06794682422451995
2,IM,IM,381,1354,0.2813884785819793
2,IM,R,66,1354,0.04874446085672083
2,R,A,640,13019,0.04915892157615792
2,R,CM,2900,13019,0.22275136339196558
2,R,E,584,13019,0.04485751593824411
2,R,F,258,13019,0.019817190260388664
2,R,IM,261,13019,0.020047622705276904
2,R,R,8376,13019,0.6433673861279668
3,A,R,97,97,1.0
3,CM,A,1,264,0.003787878787878788
3,CM,CM,120,264,0.45454545454545453
3,CM,E,3,264,0.011363636363636364
3,CM,F,6,264,0.022727272727272728
3,CM,IM,16,264,0.06060606060606061
3,CM,R,118,264,0.44696969696969696
3,E,A,7,158,0.04430379746835443
3,E,CM,2,158,0.012658227848101266
3,E,E,47,158,0.2974683544303797
3,E,F,8,158,0.05063291139240506
3,E,IM,39,158,0.2468354430379747
3,E,R,55,158,0.34810126582278483
3,F,A,30,210,0.14285714285714285
3,F,CM,6,210,0.02857142857142857
3,F,E,18,210,0.08571428571428572
3,F,F,139,210,0.6619047619047619
3,F,IM,14,210,0.06666666666666667
3,F,R,3,210,0.014285714285714285
3,IM,A,15,122,0.12295081967213115
3,IM,CM,30,122,0.2459016393442623
3,IM,E,16,122,0.13114754098360656
3,IM,F,19,122,0.1557377049180328
3,IM,IM,36,122,0.29508196721311475
3,IM,R,6,122,0.04918032786885246
3,R,A,44,716,0.061452513966480445
3,R,CM,106,716,0.14804469273743018
3,R,E,58,716,0.08100558659217877
3,R,F,43,716,0.06005586592178771
3,R,IM,19,716,0.02653631284916201
3,R,R,446,716,0.6229050279329609
4,A,A,5,79,0.06329113924050633
4,A,CM,1,79,0.012658227848101266
4,A,R,73,79,0.9240506329113924
4,CM,A,1,436,0.0022935779816513763
4,CM,CM,258,436,0.591743119266055
4,CM,E,13,436,0.02981651376146789
4,CM,F,12,436,0.027522935779816515
4,CM,IM,31,436,0.07110091743119266
4,CM,R,121,436,0.2775229357798165
4,E,E,14,88,0.1590909090909091
4,E,F,10,88,0.11363636363636363
4,E,IM,42,88,0.4772727272727273
4,E,R,22,88,0.25
4,F,A,30,359,0.08356545961002786
4,F,CM,10,359,0.027855153203342618
4,F,E,19,359,0.052924791086350974
4,F,F,262,359,0.7298050139275766
4,F,IM,32,359,0.08913649025069638
4,F,R,6,359,0.016713091922005572
4,IM,A,15,183,0.08196721311475409
4,IM,CM,63,183,0.3442622950819672
4,IM,E,10,183,0.0546448087431694
4,IM,F,38,183,0.20765027322404372
4,IM,IM,47,183,0.2568306010928962
4,IM,R,10,183,0.0546448087431694
4,R,A,28,648,0.043209876543209874
4,R,CM,105,648,0.16203703703703703
4,R,E,25,648,0.038580246913580245
4,R,F,39,648,0.06018518518518518
4,R,IM,31,648,0.047839506172839504
4,R,R,420,648,0.6481481481481481
