feature,role,definition
CommandsExecuted,clustering input,Cumulative number of Git commands executed.
CorrectActions,clustering input,Number of correct game-action events.
FailedActions,clustering input,Number of failed game-action events.
HintQuests,clustering input,Number of quests completed using a hint.
AnswerQuests,clustering input,Number of quests completed using an answer.
PlayDurationMinutes,clustering input,Total active game time in minutes.
LeaderboardInteractions,clustering input,Number of leaderboard or ranking checks.
LearningEfficiency,clustering input,Total score divided by play duration in minutes.
AccuracyRate,clustering input,Correct actions divided by correct plus failed actions.
PerfectQuestRate,clustering input,Perfect quest completions divided by completed quests.
HelpDependencyRatio,clustering input,Hint-assisted plus answer-assisted quests divided by completed quests.
StagesCleared,profile outcome,Cumulative number of stages cleared; used only for profiling.
GameProgress,profile outcome,Cumulative game-progress percentage; used only for profiling.
TotalScore,profile outcome,Cumulative stage score; used only for profiling.
