feature,n_observed,n_missing,cluster_1_n,cluster_2_n,cluster_3_n,test_status,kruskal_small_group,anova_F,anova_p,welch_F,welch_p,welch_df_between,welch_df_within,welch_status,levene_F,levene_p,variance_heterogeneity_flag,kruskal_H,kruskal_p,eta_squared
CommandsExecuted,103,1,57,31,15,ok,False,98.87102081375288,2.0323191022717268e-24,124.60666196685166,2.61695602690529e-15,2.0,30.172288913329677,ok,35.26703932924139,2.56708967814712e-12,True,81.15649914498263,2.3828139027948077e-18,0.6641387979561638
PerfectQuestRate,100,4,56,29,15,ok,False,96.0183082439443,1.0051136609072867e-23,30.977522937831054,5.236030722220948e-08,2.0,29.83726113950485,ok,12.469141873674532,1.5157770327850005e-05,True,45.41404818476108,1.37551311707459e-10,0.6644023820280761
GameProgress,103,1,57,31,15,ok,False,85.75399490397938,2.0458287798417945e-22,117.1719146055268,1.0011173819103463e-21,2.0,61.63171720124052,ok,12.049275338287853,2.0495783538552145e-05,True,69.05623611007059,1.0107153423169729e-15,0.6316867136369306
TotalScore,103,1,57,31,15,ok,False,80.94987711158299,1.2394969334934337e-21,130.96907968858937,2.359262357095475e-22,2.0,58.62270102411831,ok,15.827970227035744,1.0665396724054541e-06,True,67.54386758188464,2.1529577705811114e-15,0.6181745175874068
CorrectActions,102,2,56,31,15,ok,False,38.04278759928672,5.534124849454163e-13,44.27578693210939,8.445588968695987e-12,2.0,50.08893715101744,ok,16.4061617025912,7.016481398462055e-07,True,58.32775110516434,2.1591846127724681e-13,0.4345622140046713
LearningEfficiency,94,10,57,25,12,ok,False,36.2529727933367,2.633945862994961e-12,21.331391499741038,2.7435996493138403e-06,2.0,27.06295138712796,ok,64.29681309038757,3.914584032046706e-18,True,26.27253733772347,1.9723818810935546e-06,0.44344531525453607
StageClearOccurrences,103,1,57,31,15,ok,False,30.548650317598764,4.421675125203785e-11,60.90077840176367,5.329695369909186e-15,2.0,58.24090700073907,ok,2.7083244650301186,0.07153847539119092,False,63.822087621399206,1.3842347933997465e-14,0.37925713462791955
HelpDependencyRatio,100,4,56,29,15,ok,False,30.67779391927895,4.744708787893289e-11,15.556535130362553,1.886431714636586e-05,2.0,32.12022522623491,ok,46.15033226358109,8.251832299697078e-15,True,33.239846269384856,6.054232469953371e-08,0.3874545172419768
PlayDurationMinutes,103,1,57,31,15,ok,False,29.83024432002124,6.920337820980546e-11,53.42489724300178,5.708985509671015e-12,2.0,39.57745335170974,ok,0.6702693037610822,0.5138538229688971,False,60.63512750342257,6.811603467343999e-14,0.37367096360670754
AccuracyRate,100,4,56,29,15,ok,False,18.44440416591611,1.6267908376082673e-07,35.686602698420785,1.037453186375879e-09,2.0,41.092853882322295,ok,0.897041408007876,0.41112967814826107,False,30.213195320462997,2.7497169819474314e-07,0.2755182362995302
FailedActions,102,2,56,31,15,ok,False,12.454013272208421,1.4980277089798765e-05,23.06630453637582,8.542595043974153e-07,2.0,30.023626033162092,ok,4.994530686410243,0.008580013451533745,True,53.77509512825612,2.1032285140474623e-12,0.20102028285865847
AnswerQuests,102,2,56,31,15,ok,False,7.379263855868859,0.0010297599088134395,18.084114897602248,6.802107814825019e-06,2.0,30.273472435907657,ok,6.606733714678436,0.002026354865796336,True,30.532772999432297,2.3436490814827392e-07,0.12973557243229783
LeaderboardInteractions,102,2,56,31,15,ok,False,5.649773884353269,0.004748346545665159,7.606844423823092,0.0011017547818619547,2.0,62.733726863533185,ok,4.641223469676875,0.011839083917039294,True,30.433889682694662,2.4624352753848266e-07,0.10244418945761415
HintQuests,102,2,56,31,15,ok,False,4.512535831079173,0.013319142326140891,,,,,zero_variance_group,4.512535831079171,0.013319142326140971,True,13.505991867817196,0.0011673769922739862,0.08354608354608353
