k,gap,standard_error,observed_log_dispersion,reference_log_dispersion,minimum_cluster_size,eligible,selected
1,0.940021584793481,0.029329781145949974,7.051855622955894,7.991877207749375,105,True,False
2,1.0224159566662756,0.028839163082105077,6.798597981488113,7.821013938154389,43,True,False
3,1.0525326565005138,0.028142154244566536,6.660013171721628,7.712545828222142,22,True,False
4,1.093715417125038,0.028369483655908714,6.53936240793253,7.633077825057568,7,True,True
5,1.147295405168367,0.026928443412556263,6.423692532079742,7.570987937248109,5,False,False
6,1.2344274034702085,0.03173598874126725,6.281745060424521,7.51617246389473,5,False,False
7,1.3141171563060805,0.03083610019036099,6.1599588431505525,7.474075999456633,3,False,False
8,1.3914369409077878,0.03351555694123271,6.0307561544676025,7.42219309537539,1,False,False
9,1.4707890042606477,0.030068822742997253,5.919566518841258,7.390355523101905,1,False,False
10,1.5632966196620837,0.030764419428158784,5.779855832281259,7.343152451943343,1,False,False
