username,totalStageScore,totalGameProgress,totalPlayTime,playTimeHours,totalTimesStageClear,totalCommandExecuteTimes,perfectClearRate,hintUsageRate,efficiencyScore,progressSegment,learningStyle,engagementLevel
Xue,5500,2,515,0.14305555555555555,1,0,42.857142857142854,28.57142857142857,13.980582524271846,Beginner,Hint-Dependent,Low
clear,114500,47,13827,3.8408333333333333,38,0,93.92712550607287,3.643724696356275,12.236927750054242,Intermediate,Master,High
ccc,222000,100,6185,1.7180555555555554,70,16,88.78504672897196,1.6355140186915886,58.2053354890865,Completionist,Master,Medium
Player Name,12250,8,3317,0.9213888888888889,28,136,88.06818181818183,9.090909090909092,8.682544467892674,Beginner,Master,Low
eee,33500,55,3573,0.9925,21,159,22.516556291390728,77.48344370860927,55.415617128463474,Advanced,Hint-Dependent,Low
NewPlayer,114500,47,13827,3.8408333333333333,38,0,93.92712550607287,3.643724696356275,12.236927750054242,Intermediate,Master,High
D1180757,103500,47,6435,1.7875,16,171,86.60714285714286,9.821428571428571,26.293706293706293,Intermediate,Master,Medium
D1018508,138000,58,4609,1.2802777777777778,23,231,98.13664596273291,0.0,45.30266869169017,Advanced,Master,Medium
d1030978,87000,38,3883,1.0786111111111112,19,113,86.04651162790698,12.4031007751938,35.23049188771568,Intermediate,Master,Medium
d0653940,92750,44,6441,1.7891666666666666,15,218,76.92307692307693,6.730769230769231,24.592454587796926,Intermediate,Balanced,Medium
D1060300,112000,47,4377,1.2158333333333333,16,213,89.56521739130436,0.0,38.656614119259764,Intermediate,Master,Medium
D0957884,116750,50,4943,1.3730555555555555,18,193,93.84615384615384,1.5384615384615385,36.415132510621085,Advanced,Master,Medium
D0987439,125000,52,4010,1.113888888888889,18,145,96.82539682539682,0.0,46.68329177057356,Advanced,Master,Medium
kenchin0627,121250,52,5020,1.3944444444444444,19,211,88.37209302325581,3.10077519379845,37.29083665338646,Advanced,Master,Medium
d0947523,125750,52,4415,1.226388888888889,19,138,98.49624060150376,0.0,42.400906002265,Advanced,Master,Medium
D1179580,103750,44,6090,1.6916666666666667,19,213,95.3125,0.78125,26.00985221674877,Intermediate,Master,Medium
Loe,148750,67,5781,1.6058333333333332,24,221,90.74074074074075,1.2345679012345678,41.72288531395952,Advanced,Master,Medium
Once,70000,29,3786,1.0516666666666667,10,132,93.05555555555556,1.3888888888888888,27.575277337559427,Intermediate,Master,Medium
