gameScene,failures,starts,failure_rate
Play Game - Game Introduction (Tutorial),706.0,0.0,706.0
Play Game - Creating First Version (Tutorial),48.0,0.0,48.0
Play Game - Auto Merging (Tutorial),33.0,0.0,33.0
Play Game - Switching Project Versions (Practice),32.0,0.0,32.0
Play Game - Merge Conflicts (Tutorial),30.0,0.0,30.0
Play Game - Creating a Pull Request (Tutorial),20.0,0.0,20.0
Play Game - Fast-Forward Merging (Practice),17.0,0.0,17.0
Play Game - Git Branching Basics (Tutorial),14.0,0.0,14.0
Play Game - Switching Project Versions (Tutorial),13.0,0.0,13.0
Play Game - Basic Staging Area (Tutorial),12.0,0.0,12.0
Play Game - Game Introduction (Practice),10.0,0.0,10.0
Play Game - Create Local Repository (Tutorial),9.0,0.0,9.0
Play Game - Push to Remote Branches (Tutorial),9.0,0.0,9.0
Play Game - Preparation for Merging (Tutorial),6.0,0.0,6.0
Play Game - Create Remote Repository (Tutorial),4.0,0.0,4.0
Play Game - Advanced Staging Area (Practice),3.0,0.0,3.0
Play Game - Git Branching Basics (Practice),2.0,0.0,2.0
Play Game - Advanced Staging Area (Tutorial),2.0,0.0,2.0
Play Game - Fast-Forward Merging (Tutorial),2.0,0.0,2.0
Play Game - Review and Merge Pull Requests (Tutorial),2.0,0.0,2.0
Play Game - Basic Staging Area (Practice),2.0,0.0,2.0
Play Game - Keep Branches in Sync (Tutorial),1.0,0.0,1.0
Play Game - Auto Merging (Practice),1.0,0.0,1.0
Stage Select,0.0,1021.0,0.0
