dataVersion,playerId,username,stageName,stageType,isStageUnlock,stageClearTimes,bestPlayerStar,bestPlayerScore,bestPlayerClearTime
Version-1,65bb36f051ce7228bbeb3d35,Xue,Game Introduction (Tutorial),Basic,True,1,2,5500,515
Version-1,65bb36f051ce7228bbeb3d35,Xue,Version Control and Git (Tutorial),Basic,True,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Create Local Repository (Tutorial),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Basic Staging Area (Tutorial),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Advanced Staging Area (Tutorial),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Creating First Version (Tutorial),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Switching Project Versions (Tutorial),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Git Branching Basics (Tutorial),Branch,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Fast-Forward Merging (Tutorial),Branch,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Auto Merging (Tutorial),Branch,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Merge Conflicts (Tutorial),Branch,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Create Remote Repository (Tutorial),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Push to Remote Branches (Tutorial),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Keep Branches in Sync (Tutorial),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Preparation for Merging (Tutorial),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Creating a Pull Request (Tutorial),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Review and Merge Pull Requests (Tutorial),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Game Introduction (Practice),Basic,True,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Version Control and Git (Practice),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Create Local Repository (Practice),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Basic Staging Area (Practice),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Advanced Staging Area (Practice),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Creating First Version (Practice),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Switching Project Versions (Practice),Basic,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Git Branching Basics (Practice),Branch,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Fast-Forward Merging (Practice),Branch,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Auto Merging (Practice),Branch,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Merge Conflicts (Practice),Branch,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Create Remote Repository (Practice),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Push to Remote Branches (Practice),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Keep Branches in Sync (Practice),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Preparation for Merging (Practice),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Creating a Pull Request (Practice),Remote,False,0,0,0,0
Version-1,65bb36f051ce7228bbeb3d35,Xue,Review and Merge Pull Requests (Practice),Remote,False,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Game Introduction (Tutorial),Basic,True,9,4,7000,21
