dataVersion,ownerPlayerId,ownerUsername,stageName,stageType,rank,playerName,playerStar,playerScore,playerClearTime
Version-1,65bb36f051ce7228bbeb3d35,Xue,Game Introduction (Tutorial),Basic,1,Xue,2,5500,515
Version-1,65bc968e51ce7228bbeb3dba,clear,Game Introduction (Tutorial),Basic,1,clear,4,7000,21
Version-1,65bc968e51ce7228bbeb3dba,clear,Game Introduction (Tutorial),Basic,2,clear,4,7000,21
Version-1,65bc968e51ce7228bbeb3dba,clear,Game Introduction (Tutorial),Basic,3,clear,4,7000,29
Version-1,65bc968e51ce7228bbeb3dba,clear,Version Control and Git (Tutorial),Basic,1,clear,4,3000,44
Version-1,65bc968e51ce7228bbeb3dba,clear,Create Local Repository (Tutorial),Basic,1,clear,4,4000,19
Version-1,65bc968e51ce7228bbeb3dba,clear,Create Local Repository (Tutorial),Basic,2,clear,4,4000,21
Version-1,65bc968e51ce7228bbeb3dba,clear,Create Local Repository (Tutorial),Basic,3,clear,4,4000,22
Version-1,65bc968e51ce7228bbeb3dba,clear,Basic Staging Area (Tutorial),Basic,1,clear,4,5000,151
Version-1,65bc968e51ce7228bbeb3dba,clear,Advanced Staging Area (Tutorial),Basic,1,clear,4,6000,139
Version-1,65bc968e51ce7228bbeb3dba,clear,Creating First Version (Tutorial),Basic,1,clear,4,16000,408
Version-1,65bc968e51ce7228bbeb3dba,clear,Switching Project Versions (Tutorial),Basic,1,clear,4,8000,211
Version-1,65bc968e51ce7228bbeb3dba,clear,Git Branching Basics (Tutorial),Branch,1,clear,4,9000,241
Version-1,65bc968e51ce7228bbeb3dba,clear,Fast-Forward Merging (Tutorial),Branch,1,clear,4,6000,69
Version-1,65bc968e51ce7228bbeb3dba,clear,Fast-Forward Merging (Tutorial),Branch,2,clear,4,6000,169
Version-1,65bc968e51ce7228bbeb3dba,clear,Auto Merging (Tutorial),Branch,1,clear,3,7750,424
Version-1,65bc968e51ce7228bbeb3dba,clear,Auto Merging (Tutorial),Branch,2,clear,3,7750,692
Version-1,65bc968e51ce7228bbeb3dba,clear,Merge Conflicts (Tutorial),Branch,1,clear,4,7000,70
Version-1,65bc968e51ce7228bbeb3dba,clear,Merge Conflicts (Tutorial),Branch,2,clear,4,7000,74
Version-1,65bc968e51ce7228bbeb3dba,clear,Merge Conflicts (Tutorial),Branch,3,clear,4,7000,715
Version-1,65bc968e51ce7228bbeb3dba,clear,Create Remote Repository (Tutorial),Remote,1,clear,4,6000,62
Version-1,65bc968e51ce7228bbeb3dba,clear,Create Remote Repository (Tutorial),Remote,2,clear,3,5750,2199
Version-1,65bc968e51ce7228bbeb3dba,clear,Push to Remote Branches (Tutorial),Remote,1,clear,4,6000,95
Version-1,65bc968e51ce7228bbeb3dba,clear,Push to Remote Branches (Tutorial),Remote,2,clear,4,6000,1044
Version-1,65bc968e51ce7228bbeb3dba,clear,Keep Branches in Sync (Tutorial),Remote,1,clear,4,5000,199
Version-1,65bc968e51ce7228bbeb3dba,clear,Preparation for Merging (Tutorial),Remote,1,clear,4,8000,287
Version-1,65bc968e51ce7228bbeb3dba,clear,Preparation for Merging (Tutorial),Remote,2,clear,3,7750,162
Version-1,65bc968e51ce7228bbeb3dba,clear,Creating a Pull Request (Tutorial),Remote,1,clear,3,10750,5330
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Game Introduction (Tutorial),Basic,1,c,4,7000,24
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Game Introduction (Tutorial),Basic,2,c,4,7000,25
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Game Introduction (Tutorial),Basic,3,c,4,7000,30
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Version Control and Git (Tutorial),Basic,1,c,3,2000,29
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Local Repository (Tutorial),Basic,1,c,4,4000,21
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Local Repository (Tutorial),Basic,2,c,3,3750,45
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Basic Staging Area (Tutorial),Basic,1,c,4,5000,31
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Basic Staging Area (Tutorial),Basic,2,c,4,5000,42
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Advanced Staging Area (Tutorial),Basic,1,c,4,6000,53
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Creating First Version (Tutorial),Basic,1,c,4,16000,110
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Switching Project Versions (Tutorial),Basic,1,c,4,8000,74
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Git Branching Basics (Tutorial),Branch,1,c,4,9000,76
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Fast-Forward Merging (Tutorial),Branch,1,c,4,6000,63
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Fast-Forward Merging (Tutorial),Branch,2,c,4,6000,88
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Auto Merging (Tutorial),Branch,1,c,4,8000,122
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Merge Conflicts (Tutorial),Branch,1,c,3,6750,87
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Remote Repository (Tutorial),Remote,1,c,4,6000,46
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Push to Remote Branches (Tutorial),Remote,1,c,4,6000,96
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Keep Branches in Sync (Tutorial),Remote,1,c,4,5000,86
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Preparation for Merging (Tutorial),Remote,1,c,4,8000,164
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Creating a Pull Request (Tutorial),Remote,1,c,3,10750,140
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Review and Merge Pull Requests (Tutorial),Remote,1,c,4,4000,45
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Review and Merge Pull Requests (Tutorial),Remote,2,c,4,4000,53
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Review and Merge Pull Requests (Tutorial),Remote,3,c,4,4000,71
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Game Introduction (Practice),Basic,1,c,4,7000,18
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Game Introduction (Practice),Basic,2,c,4,7000,36
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Game Introduction (Practice),Basic,3,c,3,6750,22
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Version Control and Git (Practice),Basic,1,c,4,6000,79
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Version Control and Git (Practice),Basic,2,c,4,5000,37
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Version Control and Git (Practice),Basic,3,c,3,2000,30
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Local Repository (Practice),Basic,1,c,2,3000,13
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Local Repository (Practice),Basic,2,c,2,3000,15
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Local Repository (Practice),Basic,3,c,2,3000,18
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Basic Staging Area (Practice),Basic,1,c,1,3000,28
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Basic Staging Area (Practice),Basic,2,c,1,3000,50
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Advanced Staging Area (Practice),Basic,1,c,1,3000,24
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Advanced Staging Area (Practice),Basic,2,c,1,3000,42
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Advanced Staging Area (Practice),Basic,3,c,1,3000,77
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Creating First Version (Practice),Basic,1,c,1,7750,80
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Switching Project Versions (Practice),Basic,1,c,1,6750,105
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Switching Project Versions (Practice),Basic,2,c,1,6000,196
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Git Branching Basics (Practice),Branch,1,c,4,9000,77
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Git Branching Basics (Practice),Branch,2,c,4,9000,81
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Git Branching Basics (Practice),Branch,3,c,3,8750,165
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Fast-Forward Merging (Practice),Branch,1,c,4,6250,155
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Auto Merging (Practice),Branch,1,c,1,5750,288
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Merge Conflicts (Practice),Branch,1,c,4,8500,471
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Remote Repository (Practice),Remote,1,c,4,6000,33
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Remote Repository (Practice),Remote,2,c,3,5750,48
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Push to Remote Branches (Practice),Remote,1,c,4,6750,87
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Push to Remote Branches (Practice),Remote,2,c,4,6750,99
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Push to Remote Branches (Practice),Remote,3,c,4,6500,147
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Keep Branches in Sync (Practice),Remote,1,c,1,3750,157
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Keep Branches in Sync (Practice),Remote,2,c,1,3500,123
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Preparation for Merging (Practice),Remote,1,c,2,6000,130
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Preparation for Merging (Practice),Remote,2,c,1,5750,115
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Creating a Pull Request (Practice),Remote,1,c,4,11000,289
