k,gap,standard_error,observed_log_dispersion,reference_log_dispersion,minimum_cluster_size,eligible,one_se_satisfied,recommended_gap,selected
1,0.41401275949146576,0.03146983044522797,7.042286171939743,7.456298931431209,104,True,False,False,False
2,0.5595060574263089,0.03108319004433695,6.745631834071117,7.305137891497426,35,True,False,False,False
3,0.7424443720835123,0.029423225208239947,6.464015915150986,7.206460287234498,15,True,False,False,True
4,0.8039268679265881,0.02847635782470262,6.322518791539018,7.126445659465606,14,True,False,False,False
5,0.8795818366042187,0.029848711099301525,6.1883066528412956,7.067888489445514,5,True,False,False,False
6,0.9423781451696511,0.029981108479975815,6.0711085862140335,7.013486731383685,5,True,False,False,False
7,0.9885882352624709,0.028957900332377558,5.982145323321201,6.970733558583672,5,True,False,False,False
8,1.0422900640346384,0.033860909335122445,5.8818763364643125,6.924166400498951,4,True,False,False,False
9,1.0910107346481537,0.0305827364977644,5.793176362362362,6.884187097010516,4,True,True,True,False
10,1.122227866309153,0.034797490934698264,5.722932155059288,6.845160021368441,3,True,False,False,False
